Mapped_Bail,Allowed/Granted,Other/Disposed,Rejected/Dismissed,Withdrawn/Not Pressed
ANTICIPATORY BAIL,43209,49998,11041,5474
CANCELLATION,69,208,1155,49
REGULAR BAIL,97641,33492,32097,10151
