Mapped_Bail,Allowed/Granted,Other/Disposed,Rejected/Dismissed,Withdrawn/Not Pressed
ANTICIPATORY BAIL,39.38,45.57,10.06,4.99
CANCELLATION,4.66,14.04,77.99,3.31
REGULAR BAIL,56.32,19.32,18.51,5.85
